Start_Node	End_Node	Travel_Time
1	54632	2.190300
2	29402	1.265169
2	54633	1.491092
3	29331	2.482131
3	29390	1.752023
3	29395	3.193362
4	29395	1.857946
4	29404	1.440254
4	29429	1.077992
5	29431	0.623954
5	29435	0.886408
6	29419	2.228562
7	54635	2.152177
8	34946	1.163492
9	34944	2.501077
9	34946	1.140577
10	34972	1.138062
10	34981	1.157815
11	34944	1.347438
11	34956	1.146785
11	34982	2.100577
12	25220	1.192708
12	34955	1.489662
13	34976	1.158992
13	34979	1.438708
13	34986	1.147938
14	34952	1.738477
14	34958	1.648154
14	34961	1.101808
15	29321	2.889323
15	29436	3.058546
15	34330	1.844100
16	29320	1.159015
16	34676	1.719000
17	34684	1.867846
17	34688	2.883046
17	34954	3.172985
18	34687	1.417362
18	34975	2.626062
19	34672	0.271662
20	25137	1.788762
20	34669	2.323962
21	29302	2.676854
21	29303	2.056246
22	29302	1.550100
23	40413	0.782608
24	29416	0.736638
24	29420	2.205554
25	29412	1.531546
25	29421	1.369892
26	28280	0.997085
26	29414	2.121208
27	40414	0.474392
28	29263	0.760800
29	28276	1.005623
30	28276	1.808262
30	28283	1.416554
30	29380	3.723831
31	29396	1.169100
31	29399	3.014792
32	29345	2.777192
32	29348	1.892562
32	50151	0.705254
33	28284	2.199738
33	28989	2.872777
34	28282	2.982738
34	29006	3.782008
34	29392	3.808200
35	28684	2.737038
35	29263	3.259662
35	29265	2.434869
36	28675	1.573177
36	28992	2.087654
36	28993	1.784400
37	28991	1.491438
37	54629	2.068062
37	54630	2.425131
38	40485	0.566862
39	28675	1.180408
39	28945	1.271977
40	40416	1.524369
41	40415	0.713031
42	28944	2.029938
42	28945	0.689423
43	28951	1.629785
44	28954	1.093892
45	28954	1.321569
45	28977	0.707469
46	28690	2.447746
46	28974	1.140277
47	29249	0.978969
48	29249	0.824377
49	40420	0.935008
50	29243	1.256885
50	29246	1.121700
51	40418	1.055838
51	40419	1.024385
52	40418	1.196192
53	29253	0.841985
54	29231	0.471392
54	29257	1.200554
55	29229	1.092438
56	29237	1.040238
57	29239	0.925708
57	29241	1.293531
58	40428	1.107323
59	28972	0.418846
60	28967	1.007608
60	40429	0.853615
61	28949	0.682800
62	28668	1.384754
62	40740	0.684508
63	28972	0.559038
64	29239	0.970246
64	40741	0.869631
65	4104	1.185600
65	40741	0.553062
66	40431	0.557469
67	19844	0.523500
68	50738	0.246000
69	4778	0.756715
69	4807	1.005092
70	29126	0.303738
71	28680	0.877038
72	29256	0.728377
73	28680	0.793431
74	29270	0.886615
75	40417	1.169469
76	40421	1.113923
77	29224	1.047600
78	29305	0.865315
79	29223	1.580031
79	29308	0.600300
80	29272	1.398438
80	29279	0.407608
81	40423	0.658200
82	29272	2.316277
82	40422	1.658608
83	29207	1.314600
83	29295	1.397677
83	29296	1.015292
84	25172	2.220992
85	25172	1.203000
86	25137	1.859169
86	29223	1.838400
87	40424	2.822285
88	40425	1.737577
89	40426	1.150477
90	40427	1.500762
91	40427	1.353208
92	34663	0.717969
92	34668	1.098208
93	34647	0.883108
93	40426	1.056138
94	34662	1.114892
94	34663	1.572900
95	34649	1.642523
95	40444	1.320369
96	34653	0.854677
97	40432	0.610200
98	5118	1.061492
98	40432	1.089000
99	5236	0.924023
99	29169	1.272092
100	29210	0.880938
101	29209	0.581862
101	34449	0.878677
101	34453	1.024800
102	34458	0.627069
102	34466	1.124215
103	34463	0.287885
104	25150	0.571108
105	25177	1.067100
105	34653	1.420454
106	40444	0.522969
107	34360	0.756069
107	34659	1.131185
108	34660	0.804369
108	40443	1.113115
109	40443	1.090362
110	34437	1.205746
110	34442	2.359777
111	34575	0.676500
111	34592	0.584146
112	34364	1.896162
112	34575	1.348892
112	34639	1.608023
113	34636	1.691146
113	34639	1.433931
113	34696	2.076185
114	34666	1.789731
114	34698	0.871108
115	34630	1.964169
115	34632	1.802723
116	34718	0.613500
117	34728	1.629808
118	34378	1.966338
118	34391	2.485408
119	34693	1.649308
119	34701	1.906038
120	34367	1.215162
121	34364	1.471523
121	34695	1.978962
122	34625	1.145008
123	34368	2.061415
124	34368	0.890008
124	34885	1.854046
125	34704	0.433985
126	34388	2.078746
126	34707	1.827785
126	34877	1.162085
127	34899	2.078931
128	34877	1.731208
128	34895	2.146038
129	34884	1.147823
129	34887	1.184562
130	34875	0.920377
131	34725	3.481292
132	40484	1.278254
133	34394	1.347762
134	34723	1.057454
135	34716	0.603300
136	34310	1.999062
136	54779	2.943092
137	34942	1.149023
137	34973	1.653254
137	35003	1.156662
138	34310	2.511577
138	34326	2.658854
138	34923	4.415792
139	34327	2.586646
139	34734	3.287262
140	35007	3.263931
140	35159	1.721677
141	34996	1.742031
141	35005	2.811346
141	54636	1.425485
142	34941	2.288677
142	34996	1.796100
143	40366	1.521185
144	34928	2.486469
144	35012	3.794792
145	35152	3.060185
145	35189	2.119385
146	34324	0.705485
146	35191	4.955931
147	35193	4.637631
147	40339	2.799023
148	35180	0.856938
148	35194	0.341608
149	35153	2.960331
149	35181	3.382154
150	40339	3.146215
151	34352	3.921877
151	34906	5.844600
152	34910	3.575585
153	34335	1.798477
153	34918	2.265115
153	35408	3.063969
154	35427	0.963369
155	35432	0.491492
156	35422	1.173554
156	35425	0.877546
157	35420	0.546808
158	40452	3.252692
159	34912	5.545962
160	34323	1.347231
161	35313	0.788538
162	35316	0.645854
163	35263	0.661546
164	10013	2.731246
164	40455	0.381531
165	40454	1.880262
165	54577	1.214908
166	34799	2.373531
166	40454	1.939477
167	40453	3.021231
168	34745	1.385331
169	34850	1.668646
170	9007	1.598169
171	34755	0.998954
172	34763	0.820269
173	34762	0.687046
174	8628	1.283077
174	34762	0.641008
175	8628	0.910892
175	8759	0.850038
176	8759	1.057800
176	34755	0.533423
177	8897	0.984646
177	9038	1.096754
178	9038	1.362369
178	34745	0.972346
179	34796	0.843185
180	9511	0.967154
181	34860	0.970015
181	34862	0.989977
181	54218	1.001908
182	34793	1.474823
182	34860	1.133215
183	40451	1.172308
184	34770	1.377669
184	34772	1.363246
185	34624	3.263377
185	40450	1.255154
186	34577	0.968977
186	34624	0.943385
187	34577	1.852108
187	34579	0.561046
188	18908	1.384038
188	34581	1.391723
189	40445	1.039892
190	34566	0.700892
191	54580	0.684692
192	34568	0.648208
193	34770	1.606892
193	34781	1.187538
